Area,Measure,Year at 30 June,Value,Flags
"Christchurch city","Population","2020",391600,
"Selwyn district","Population","2020",70300,
"Ashburton district","Population","2020",35700,
"Timaru district","Population","2020",48300,
"Mackenzie district","Population","2020",5440,
"Waimate district","Population","2020",8270,
"Chatham Islands territory","Population","2020",750,
"Waitaki district","Population","2020",23700,
"Central Otago district","Population","2020",24300,
"Queenstown-Lakes district","Population","2020",47700,
"Dunedin city","Population","2020",132800,
"Clutha district","Population","2020",18450,
"Southland district","Population","2020",32600,
"Gore district","Population","2020",13000,
"Invercargill city","Population","2020",57200,
"Area outside territorial authority","Population","2020",40,
"Area outside territorial authority","Population","2021",40,
"Invercargill city","Population","2021",57000,
"Gore district","Population","2021",12950,
"Southland district","Population","2021",32600,
"Clutha district","Population","2021",18500,
"Dunedin city","Population","2021",130800,
"Queenstown-Lakes district","Population","2021",48600,
"Central Otago district","Population","2021",24800,
"Waitaki district","Population","2021",23900,
"Chatham Islands territory","Population","2021",770,
"Waimate district","Population","2021",8300,
"Mackenzie district","Population","2021",5420,
"Timaru district","Population","2021",48500,
"Ashburton district","Population","2021",36100,
"Selwyn district","Population","2021",75700,
"Christchurch city","Population","2021",390000,
"Waimakariri district","Population","2021",66600,
"Hurunui district","Population","2021",13550,
"Westland district","Population","2021",8870,
"Grey district","Population","2021",14200,
"Buller district","Population","2021",9870,
"Kaikoura district","Population","2021",4160,
"Marlborough district","Population","2021",51600,
"Nelson city","Population","2021",54700,
"Tasman district","Population","2021",58100,
"South Wairarapa district","Population","2021",11600,
"Carterton district","Population","2021",10100,
"Masterton district","Population","2021",28400,
"Wellington city","Population","2021",215400,
"Lower Hutt city","Population","2021",112200,
"Upper Hutt city","Population","2021",47300,
"Porirua city","Population","2021",61100,
"Kapiti Coast district","Population","2021",57400,
"Horowhenua district","Population","2021",36500,
"Tararua district","Population","2021",18950,
"Palmerston North city","Population","2021",90400,
"Manawatu district","Population","2021",33400,
"Rangitikei district","Population","2021",16000,
"Whanganui district","Population","2021",48400,
"Ruapehu district","Population","2021",13000,
"Ruapehu district","Net internal migration","2021",-60,
"Whanganui district","Net internal migration","2021",320,
"Rangitikei district","Net internal migration","2021",-10,
"Manawatu district","Net internal migration","2021",620,
"Palmerston North city","Net internal migration","2021",-560,
"Tararua district","Net internal migration","2021",0,
"Horowhenua district","Net internal migration","2021",550,
"Kapiti Coast district","Net internal migration","2021",240,
"Porirua city","Net internal migration","2021",-120,
"Upper Hutt city","Net internal migration","2021",270,
"Lower Hutt city","Net internal migration","2021",-460,
"Wellington city","Net internal migration","2021",-1500,
"Masterton district","Net internal migration","2021",540,
"Carterton district","Net internal migration","2021",170,
"South Wairarapa district","Net internal migration","2021",130,
"Tasman district","Net internal migration","2021",600,
"Nelson city","Net internal migration","2021",-370,
"Marlborough district","Net internal migration","2021",170,
"Kaikoura district","Net internal migration","2021",0,
"Buller district","Net internal migration","2021",50,
"Grey district","Net internal migration","2021",-30,
"Westland district","Net internal migration","2021",-40,
"Hurunui district","Net internal migration","2021",90,
"Waimakariri district","Net internal migration","2021",1600,
"Christchurch city","Net internal migration","2021",-2700,
"Selwyn district","Net internal migration","2021",4700,
"Ashburton district","Net internal migration","2021",270,
"Timaru district","Net internal migration","2021",140,
"Mackenzie district","Net internal migration","2021",20,
"Waimate district","Net internal migration","2021",20,
"Chatham Islands territory","Net internal migration","2021",30,
"Waitaki district","Net internal migration","2021",230,
"Central Otago district","Net internal migration","2021",510,
"Queenstown-Lakes district","Net internal migration","2021",1300,
"Dunedin city","Net internal migration","2021",-2100,
"Clutha district","Net internal migration","2021",20,
"Southland district","Net internal migration","2021",-170,
"Gore district","Net internal migration","2021",0,
"Invercargill city","Net internal migration","2021",-290,
"Area outside territorial authority","Net internal migration","2021",0,
"Area outside territorial authority","Net international migration","2021",0,
"Invercargill city","Net international migration","2021",50,
"Gore district","Net international migration","2021",-20,
"Southland district","Net international migration","2021",-40,
"Clutha district","Net international migration","2021",0,
"Dunedin city","Net international migration","2021",-200,
"Queenstown-Lakes district","Net international migration","2021",-920,
"Central Otago district","Net international migration","2021",0,
"Waitaki district","Net international migration","2021",10,
"Chatham Islands territory","Net international migration","2021",0,
"Waimate district","Net international migration","2021",0,
"Mackenzie district","Net international migration","2021",-60,
"Timaru district","Net international migration","2021",20,
"Ashburton district","Net international migration","2021",-100,
"Selwyn district","Net international migration","2021",-120,
"Christchurch city","Net international migration","2021",-560,
"Waimakariri district","Net international migration","2021",80,
"Hurunui district","Net international migration","2021",-40,
"Westland district","Net international migration","2021",-30,
"Grey district","Net international migration","2021",60,
"Buller district","Net international migration","2021",30,
"Kaikoura district","Net international migration","2021",-50,
"Marlborough district","Net international migration","2021",30,
"Nelson city","Net international migration","2021",90,
"Tasman district","Net international migration","2021",10,
"South Wairarapa district","Net international migration","2021",40,
"Carterton district","Net international migration","2021",20,
"Masterton district","Net international migration","2021",80,
"Wellington city","Net international migration","2021",-690,
"Lower Hutt city","Net international migration","2021",60,
"Upper Hutt city","Net international migration","2021",-10,
"Porirua city","Net international migration","2021",100,
"Kapiti Coast district","Net international migration","2021",130,
"Horowhenua district","Net international migration","2021",80,
"Tararua district","Net international migration","2021",20,
"Palmerston North city","Net international migration","2021",-20,
"Manawatu district","Net international migration","2021",90,
"Rangitikei district","Net international migration","2021",50,
"Whanganui district","Net international migration","2021",120,
"Ruapehu district","Net international migration","2021",10,
"Ruapehu district","Net migration","2021",-60,
"Whanganui district","Net migration","2021",440,
"Rangitikei district","Net migration","2021",30,
"Manawatu district","Net migration","2021",720,
"Palmerston North city","Net migration","2021",-570,
"Tararua district","Net migration","2021",30,
"Horowhenua district","Net migration","2021",620,
"Kapiti Coast district","Net migration","2021",370,
"Porirua city","Net migration","2021",-20,
"Upper Hutt city","Net migration","2021",260,
"Lower Hutt city","Net migration","2021",-400,
"Lower Hutt city","Net migration","2022",-390,
"Upper Hutt city","Net migration","2022",210,
"Porirua city","Net migration","2022",-50,
"Kapiti Coast district","Net migration","2022",340,
"Horowhenua district","Net migration","2022",520,
"Tararua district","Net migration","2022",40,
"Palmerston North city","Net migration","2022",-520,
"Manawatu district","Net migration","2022",400,
"Rangitikei district","Net migration","2022",10,
"Whanganui district","Net migration","2022",280,
"Ruapehu district","Net migration","2022",-70,
"Ruapehu district","Net international migration","2022",-10,
"Whanganui district","Net international migration","2022",-10,
"Rangitikei district","Net international migration","2022",0,
"Manawatu district","Net international migration","2022",20,
"Palmerston North city","Net international migration","2022",-30,
"Tararua district","Net international migration","2022",10,
"Horowhenua district","Net international migration","2022",10,
"Kapiti Coast district","Net international migration","2022",-40,
"Porirua city","Net international migration","2022",-20,
"Upper Hutt city","Net international migration","2022",-40,
"Lower Hutt city","Net international migration","2022",-160,
"Wellington city","Net international migration","2022",-1600,
"Masterton district","Net international migration","2022",20,
"Carterton district","Net international migration","2022",-10,
"South Wairarapa district","Net international migration","2022",-40,
"Tasman district","Net international migration","2022",-140,
"Nelson city","Net international migration","2022",-120,
"Marlborough district","Net international migration","2022",80,
"Kaikoura district","Net international migration","2022",-10,
"Buller district","Net international migration","2022",0,
"Grey district","Net international migration","2022",20,
"Westland district","Net international migration","2022",0,
"Hurunui district","Net international migration","2022",0,
"Waimakariri district","Net international migration","2022",-90,
"Christchurch city","Net international migration","2022",-910,
"Selwyn district","Net international migration","2022",-120,
"Ashburton district","Net international migration","2022",10,
"Timaru district","Net international migration","2022",-10,
"Mackenzie district","Net international migration","2022",-30,
"Waimate district","Net international migration","2022",10,
"Chatham Islands territory","Net international migration","2022",0,
"Waitaki district","Net international migration","2022",-10,
"Central Otago district","Net international migration","2022",60,
"Queenstown-Lakes district","Net international migration","2022",-840,
"Dunedin city","Net international migration","2022",-200,
"Clutha district","Net international migration","2022",30,
"Southland district","Net international migration","2022",-10,
"Gore district","Net international migration","2022",10,
"Invercargill city","Net international migration","2022",60,
"Area outside territorial authority","Net international migration","2022",0,
"Area outside territorial authority","Net internal migration","2022",0,
"Invercargill city","Net internal migration","2022",-250,
"Gore district","Net internal migration","2022",30,
"Southland district","Net internal migration","2022",-170,
"Clutha district","Net internal migration","2022",30,
"Dunedin city","Net internal migration","2022",-250,
"Queenstown-Lakes district","Net internal migration","2022",1400,
"Central Otago district","Net internal migration","2022",520,
"Waitaki district","Net internal migration","2022",180,
"Chatham Islands territory","Net internal migration","2022",30,
"Waimate district","Net internal migration","2022",10,
"Mackenzie district","Net internal migration","2022",30,
"Timaru district","Net internal migration","2022",100,
"Ashburton district","Net internal migration","2022",150,
"Selwyn district","Net internal migration","2022",3000,
"Christchurch city","Net internal migration","2022",-1200,
"Waimakariri district","Net internal migration","2022",1300,
"Hurunui district","Net internal migration","2022",80,
"Westland district","Net internal migration","2022",-40,
"Grey district","Net internal migration","2022",-30,
"Buller district","Net internal migration","2022",-70,
"Kaikoura district","Net internal migration","2022",20,
"Marlborough district","Net internal migration","2022",220,
"Nelson city","Net internal migration","2022",-130,
"Tasman district","Net internal migration","2022",690,
"South Wairarapa district","Net internal migration","2022",130,
"Carterton district","Net internal migration","2022",150,
"Masterton district","Net internal migration","2022",470,
"Wellington city","Net internal migration","2022",-1700,
"Lower Hutt city","Net internal migration","2022",-230,
"Upper Hutt city","Net internal migration","2022",240,
"Porirua city","Net internal migration","2022",-30,
"Kapiti Coast district","Net internal migration","2022",380,
"Horowhenua district","Net internal migration","2022",510,
"Tararua district","Net internal migration","2022",20,
"Palmerston North city","Net internal migration","2022",-490,
"Manawatu district","Net internal migration","2022",370,
"Rangitikei district","Net internal migration","2022",10,
"Whanganui district","Net internal migration","2022",290,
"Ruapehu district","Net internal migration","2022",-60,
"Ruapehu district","Population","2022",13000,
"Whanganui district","Population","2022",48700,
"Rangitikei district","Population","2022",16100,
"Manawatu district","Population","2022",33900,
"Palmerston North city","Population","2022",90400,
"Tararua district","Population","2022",19050,
"Horowhenua district","Population","2022",37000,
"Kapiti Coast district","Population","2022",57600,
"Porirua city","Population","2022",61600,
"Upper Hutt city","Population","2022",47700,
"Lower Hutt city","Population","2022",112500,
"Wellington city","Population","2022",213100,
"Masterton district","Population","2022",29000,
"Carterton district","Population","2022",10250,
"South Wairarapa district","Population","2022",11750,
"Tasman district","Population","2022",58700,
"Nelson city","Population","2022",54500,
"Marlborough district","Population","2022",51900,
"Kaikoura district","Population","2022",4160,
"Buller district","Population","2022",9730,
"Grey district","Population","2022",14200,
"Westland district","Population","2022",8820,
"Hurunui district","Population","2022",13700,
"Waimakariri district","Population","2022",67900,
"Christchurch city","Population","2022",389300,
"Selwyn district","Population","2022",79300,
"Ashburton district","Population","2022",36300,
"Timaru district","Population","2022",48500,
"Mackenzie district","Population","2022",5460,
"Waimate district","Population","2022",8320,
"Chatham Islands territory","Population","2022",800,
"Waitaki district","Population","2022",24000,
"Central Otago district","Population","2022",25500,
"Queenstown-Lakes district","Population","2022",49500,
"Dunedin city","Population","2022",130400,
"Clutha district","Population","2022",18650,
"Southland district","Population","2022",32600,
"Gore district","Population","2022",13000,
"Invercargill city","Population","2022",56800,
"Area outside territorial authority","Population","2022",40,
