Area,Measure,Year at 30 June,Value,Flags
"Whangarei district","Net internal migration","2019",690,
"Kaipara district","Net internal migration","2019",440,
"Auckland","Net internal migration","2019",-11400,
"Rodney local board area","Net internal migration","2019",1200,
"Hibiscus and Bays local board area","Net internal migration","2019",-50,
"Upper Harbour local board area","Net internal migration","2019",120,
"Kaipatiki local board area","Net internal migration","2019",-1800,
"Devonport-Takapuna local board area","Net internal migration","2019",-1100,
"Henderson-Massey local board area","Net internal migration","2019",-640,
"Waitakere Ranges local board area","Net internal migration","2019",-310,
"Aotea/Great Barrier local board area","Net internal migration","2019",0,
"Waiheke local board area","Net internal migration","2019",-80,
"Waitemata local board area","Net internal migration","2019",-3000,
"Whau local board area","Net internal migration","2019",-990,
"Whau local board area","Net international migration","2019",1400,
"Waitemata local board area","Net international migration","2019",4800,
"Waiheke local board area","Net international migration","2019",170,
"Aotea/Great Barrier local board area","Net international migration","2019",30,
"Waitakere Ranges local board area","Net international migration","2019",170,
"Henderson-Massey local board area","Net international migration","2019",1300,
"Devonport-Takapuna local board area","Net international migration","2019",960,
"Kaipatiki local board area","Net international migration","2019",1500,
"Upper Harbour local board area","Net international migration","2019",1300,
"Hibiscus and Bays local board area","Net international migration","2019",2000,
"Rodney local board area","Net international migration","2019",520,
"Auckland","Net international migration","2019",25000,
"Kaipara district","Net international migration","2019",70,
"Whangarei district","Net international migration","2019",440,
"Far North district","Net international migration","2019",410,
"Area outside region","Net international migration","2019",-10,
"Southland region","Net international migration","2019",1100,
"Southland region","Net migration","2019",770,
"Area outside region","Net migration","2019",20,
"Far North district","Net migration","2019",1000,
"Whangarei district","Net migration","2019",1100,
"Kaipara district","Net migration","2019",510,
"Auckland","Net migration","2019",13600,
"Rodney local board area","Net migration","2019",1700,
"Hibiscus and Bays local board area","Net migration","2019",2000,
"Upper Harbour local board area","Net migration","2019",1400,
"Kaipatiki local board area","Net migration","2019",-390,
"Devonport-Takapuna local board area","Net migration","2019",-150,
"Henderson-Massey local board area","Net migration","2019",700,
"Waitakere Ranges local board area","Net migration","2019",-140,
"Aotea/Great Barrier local board area","Net migration","2019",30,
"Waiheke local board area","Net migration","2019",90,
"Waitemata local board area","Net migration","2019",1800,
"Whau local board area","Net migration","2019",430,
"Whau local board area","Net migration","2020",150,
"Waitemata local board area","Net migration","2020",1300,
"Waiheke local board area","Net migration","2020",320,
"Aotea/Great Barrier local board area","Net migration","2020",40,
"Waitakere Ranges local board area","Net migration","2020",240,
"Henderson-Massey local board area","Net migration","2020",650,
"Devonport-Takapuna local board area","Net migration","2020",420,
"Kaipatiki local board area","Net migration","2020",-560,
"Upper Harbour local board area","Net migration","2020",1900,
"Hibiscus and Bays local board area","Net migration","2020",2100,
"Rodney local board area","Net migration","2020",2800,
"Auckland","Net migration","2020",20000,
"Kaipara district","Net migration","2020",930,
"Whangarei district","Net migration","2020",1900,
"Far North district","Net migration","2020",2000,
"Area outside region","Net migration","2020",30,
"Southland region","Net migration","2020",980,
"Southland region","Net international migration","2020",1200,
"Area outside region","Net international migration","2020",10,
"Far North district","Net international migration","2020",1200,
"Whangarei district","Net international migration","2020",1300,
"Kaipara district","Net international migration","2020",260,
"Auckland","Net international migration","2020",31300,
"Rodney local board area","Net international migration","2020",970,
"Hibiscus and Bays local board area","Net international migration","2020",2400,
"Upper Harbour local board area","Net international migration","2020",1400,
"Kaipatiki local board area","Net international migration","2020",1300,
"Devonport-Takapuna local board area","Net international migration","2020",1800,
"Henderson-Massey local board area","Net international migration","2020",1200,
"Waitakere Ranges local board area","Net international migration","2020",480,
"Aotea/Great Barrier local board area","Net international migration","2020",30,
"Waiheke local board area","Net international migration","2020",430,
"Waitemata local board area","Net international migration","2020",4900,
"Whau local board area","Net international migration","2020",1200,
"Whau local board area","Net internal migration","2020",-1100,
"Waitemata local board area","Net internal migration","2020",-3600,
"Waiheke local board area","Net internal migration","2020",-120,
"Aotea/Great Barrier local board area","Net internal migration","2020",10,
"Waitakere Ranges local board area","Net internal migration","2020",-250,
"Henderson-Massey local board area","Net internal migration","2020",-560,
"Devonport-Takapuna local board area","Net internal migration","2020",-1400,
"Kaipatiki local board area","Net internal migration","2020",-1900,
"Upper Harbour local board area","Net internal migration","2020",460,
"Hibiscus and Bays local board area","Net internal migration","2020",-320,
"Rodney local board area","Net internal migration","2020",1900,
"Auckland","Net internal migration","2020",-11300,
"Kaipara district","Net internal migration","2020",670,
"Whangarei district","Net internal migration","2020",600,
"Far North district","Net internal migration","2020",820,
"Area outside region","Net internal migration","2020",20,
"Southland region","Net internal migration","2020",-250,
"Southland region","Population","2020",102800,
"Area outside region","Population","2020",750,
"Far North district","Population","2020",71400,
"Whangarei district","Population","2020",97800,
"Kaipara district","Population","2020",25400,
"Auckland","Population","2020",1714200,
"Rodney local board area","Population","2020",74500,
"Hibiscus and Bays local board area","Population","2020",113500,
"Upper Harbour local board area","Population","2020",71000,
"Kaipatiki local board area","Population","2020",93600,
"Devonport-Takapuna local board area","Population","2020",61300,
"Henderson-Massey local board area","Population","2020",128600,
"Waitakere Ranges local board area","Population","2020",55400,
"Aotea/Great Barrier local board area","Population","2020",1040,
"Waiheke local board area","Population","2020",9810,
"Waitemata local board area","Population","2020",92500,
"Whau local board area","Population","2020",86000,
"Albert-Eden local board area","Natural increase","2020",470,
"Puketapapa local board area","Natural increase","2020",420,
"Orakei local board area","Natural increase","2020",280,
"Maungakiekie-Tamaki local board area","Natural increase","2020",820,
"Howick local board area","Natural increase","2020",870,
"Mangere-Otahuhu local board area","Natural increase","2020",920,
"Otara-Papatoetoe local board area","Natural increase","2020",1100,
"Manurewa local board area","Natural increase","2020",1300,
"Papakura local board area","Natural increase","2020",820,
"Franklin local board area","Natural increase","2020",410,
"Thames-Coromandel district","Natural increase","2020",-80,
"Hauraki district","Natural increase","2020",10,
"Waikato district","Natural increase","2020",600,
"Matamata-Piako district","Natural increase","2020",130,
"Hamilton city","Natural increase","2020",1500,
"Waipa district","Natural increase","2020",250,
"Otorohanga district","Natural increase","2020",80,
"South Waikato district","Natural increase","2020",130,
"Waitomo district","Natural increase","2020",40,
"Taupo district","Natural increase","2020",150,
"Western Bay of Plenty district","Natural increase","2020",190,
"Tauranga city","Natural increase","2020",690,
"Rotorua district","Natural increase","2020",450,
"Whakatane district","Natural increase","2020",150,
"Kawerau district","Natural increase","2020",20,
"Opotiki district","Natural increase","2020",40,
"Gisborne district","Natural increase","2020",250,
"Wairoa district","Natural increase","2020",30,
"Hastings district","Natural increase","2020",380,
"Napier city","Natural increase","2020",120,
"Central Hawke's Bay district","Natural increase","2020",60,
"New Plymouth district","Natural increase","2020",240,
"Stratford district","Natural increase","2020",30,
"South Taranaki district","Natural increase","2020",140,
"South Taranaki district","Natural increase","2021",160,
"Stratford district","Natural increase","2021",50,
